Year,Month,Usage
2016,1,1071.18
2016,2,867.549
2016,3,606.975
2016,4,464.373
2016,5,324.265
2016,6,235.508
2016,7,225.354
2016,8,210.826
2016,9,231.246
2016,10,326.344
2016,11,525.635
2016,12,993.95
